Run,Accuracy,Precision,Recall,F1,Threshold
1,0.788723667905824,0.7721854304635761,0.7752659574468085,0.7737226277372262,
2,0.7930607187112764,0.7794117647058824,0.7752659574468085,0.7773333333333333,
3,0.7912019826517968,0.7770360480640854,0.773936170212766,0.7754830113257828,
4,0.7893432465923172,0.7724867724867724,0.776595744680851,0.7745358090185676,
5,0.7905824039653035,0.776,0.773936170212766,0.7749667110519308,
6,0.7908921933085502,0.7783747481531229,0.7706117021276596,0.7744737721349815,
7,0.79182156133829,0.7788203753351206,0.7726063829787234,0.7757009345794392,
8,0.7896530359355638,0.7755511022044088,0.7719414893617021,0.773742085971343,
9,0.7949194547707559,0.7814171122994652,0.7772606382978723,0.7793333333333333,
10,0.7915117719950434,0.7768154563624251,0.7752659574468085,0.7760399334442595,
11,0.7908921933085502,0.7757817697937458,0.7752659574468085,0.7755237778516794,
12,0.7899628252788105,0.7757009345794392,0.7726063829787234,0.7741505662891405,
13,0.7915117719950434,0.778672032193159,0.7719414893617021,0.7752921535893155,
14,0.7905824039653035,0.7767379679144385,0.7726063829787234,0.7746666666666667,
15,0.7933705080545229,0.781061114842176,0.7732712765957447,0.7771466755763449,
16,0.7912019826517968,0.7766666666666666,0.7746010638297872,0.7756324900133156,
17,0.7942998760842627,0.78,0.7779255319148937,0.7789613848202398,
18,0.7896530359355638,0.7766599597585513,0.7699468085106383,0.773288814691152,
19,0.7930607187112764,0.7824324324324324,0.7699468085106383,0.7761394101876675,
20,0.7924411400247832,0.7772606382978723,0.7772606382978723,0.7772606382978723,
21,0.7924411400247832,0.7783711615487316,0.7752659574468085,0.776815456362425,
22,0.7908921933085502,0.7735973597359735,0.7792553191489362,0.7764160317986087,
23,0.7946096654275093,0.7725210628645496,0.7925531914893617,0.7824089268132589,
24,0.7908921933085502,0.7776289350301406,0.7719414893617021,0.7747747747747749,
25,0.7939900867410161,0.7798532354903269,0.7772606382978723,0.7785547785547785,
26,0.788723667905824,0.7751004016064257,0.7699468085106383,0.7725150100066711,
27,0.7908921933085502,0.7776289350301406,0.7719414893617021,0.7747747747747749,
28,0.7921313506815365,0.7823728813559322,0.7672872340425532,0.774756629741524,
29,0.7899628252788105,0.7757009345794392,0.7726063829787234,0.7741505662891405,
30,0.7915117719950434,0.7782987273945077,0.7726063829787234,0.7754421087754421,
31,0.7924411400247832,0.7776298268974701,0.776595744680851,0.7771124417831005,
32,0.7936802973977695,0.7797062750333779,0.776595744680851,0.7781479013990672,
33,0.7955390334572491,0.7817089452603472,0.7785904255319149,0.7801465689540307,
34,0.79182156133829,0.7818428184281843,0.7672872340425532,0.774496644295302,
35,0.79182156133829,0.7784471218206158,0.7732712765957447,0.7758505670446965,
36,0.7905824039653035,0.776,0.773936170212766,0.7749667110519308,
37,0.7908921933085502,0.7776289350301406,0.7719414893617021,0.7747747747747749,
38,0.7912019826517968,0.7766666666666666,0.7746010638297872,0.7756324900133156,
39,0.7924411400247832,0.7791164658634538,0.773936170212766,0.7765176784523016,
40,0.7921313506815365,0.7789685197588747,0.7732712765957447,0.7761094427761095,
